[2020/12/22 12:55:31] start=0, train=21670, val=224, host=ludwig, batch=30
[2020/12/22 12:55:31] batch=8, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 12:55:47] steps=1, epe=61.15669573859147, total_time=0.00
[2020/12/22 12:56:06] steps=1, sintel.clean=1.4038105010986328, sintel.final=1.7384729385375977
[2020/12/22 12:56:07] steps=2, epe=59.92855719193297, total_time=35.34
[2020/12/22 12:56:08] steps=3, epe=66.6674593426972, total_time=17.64
[2020/12/22 12:56:08] steps=4, epe=61.4852524753232, total_time=11.69
[2020/12/22 12:56:09] steps=5, epe=59.0572884263625, total_time=8.72
[2020/12/22 12:56:10] steps=6, epe=59.248369664076115, total_time=6.93
[2020/12/22 12:56:10] steps=7, epe=58.34994505301479, total_time=5.74
[2020/12/22 12:56:11] steps=8, epe=59.8403831184347, total_time=4.89
[2020/12/22 12:56:12] steps=9, epe=59.1314719540885, total_time=4.26
[2020/12/22 12:56:12] steps=10, epe=58.49045084906244, total_time=3.77
[2020/12/22 12:56:13] steps=11, epe=58.206355921624755, total_time=3.40
[2020/12/22 12:56:14] steps=12, epe=57.788839713525405, total_time=3.07
[2020/12/22 12:56:14] steps=13, epe=56.854138626433325, total_time=2.81
[2020/12/22 12:56:15] steps=14, epe=56.3593108841286, total_time=2.59
[2020/12/22 12:56:15] steps=15, epe=55.09810558170438, total_time=2.39
[2020/12/22 12:56:16] steps=16, epe=53.73714195933679, total_time=2.23
[2020/12/22 12:56:17] steps=17, epe=52.927711370552245, total_time=2.09
[2020/12/22 12:56:17] steps=18, epe=52.556619788954144, total_time=1.96
[2020/12/22 12:56:18] steps=19, epe=52.23258076686303, total_time=1.85
[2020/12/22 12:56:19] steps=20, epe=50.91375776706246, total_time=1.75
[2020/12/22 12:56:38] steps=50, epe=48.76400834768336, total_time=0.81
[2020/12/22 12:57:12] steps=100, epe=46.55916464942136, total_time=0.66
[2020/12/22 12:57:45] steps=150, epe=44.39588225523671, total_time=0.66
[2020/12/22 12:58:19] steps=200, epe=42.64688544729375, total_time=0.65
[2020/12/22 12:58:52] steps=250, epe=40.85358876544619, total_time=0.67
[2020/12/22 12:59:27] steps=300, epe=39.2541883225147, total_time=0.65
[2020/12/22 13:00:00] steps=350, epe=37.72746632200736, total_time=0.66
[2020/12/22 13:00:34] steps=400, epe=36.320093696818475, total_time=0.65
[2020/12/22 13:01:07] steps=450, epe=34.97262550467801, total_time=0.66
[2020/12/22 13:01:42] steps=500, epe=33.747948594272, total_time=0.66
[2020/12/22 13:02:14] steps=550, epe=32.62498015443097, total_time=0.66
[2020/12/22 13:02:49] steps=600, epe=31.55588376527532, total_time=0.66
[2020/12/22 13:03:22] steps=650, epe=30.638625736955973, total_time=0.66
[2020/12/22 13:03:57] steps=700, epe=29.827013842813994, total_time=0.66
[2020/12/22 13:04:31] steps=750, epe=29.00191153568051, total_time=0.67
[2020/12/22 13:05:06] steps=800, epe=28.172548990724913, total_time=0.66
[2020/12/22 13:05:39] steps=850, epe=27.40609397414742, total_time=0.66
[2020/12/22 13:06:15] steps=900, epe=26.716455289987206, total_time=0.67
[2020/12/22 13:06:48] steps=950, epe=26.082249461614193, total_time=0.67
[2020/12/22 13:07:23] steps=1000, epe=25.436942243192895, total_time=0.65
[2020/12/22 13:07:56] steps=1050, epe=24.864955741836713, total_time=0.66
[2020/12/22 13:08:31] steps=1100, epe=24.33897108994275, total_time=0.66
[2020/12/22 13:09:05] steps=1150, epe=23.861549066997572, total_time=0.68
[2020/12/22 13:09:40] steps=1200, epe=23.396148466002398, total_time=0.66
[2020/12/22 13:10:13] steps=1250, epe=22.9204780203003, total_time=0.67
[2020/12/22 13:10:48] steps=1300, epe=22.540719944122483, total_time=0.66
[2020/12/22 13:11:22] steps=1350, epe=22.19630984811884, total_time=0.68
[2020/12/22 13:11:58] steps=1400, epe=21.79537116315948, total_time=0.67
[2020/12/22 13:12:31] steps=1450, epe=21.40090514088132, total_time=0.68
[2020/12/22 13:13:07] steps=1500, epe=21.109624519190007, total_time=0.68
[2020/12/22 13:13:40] steps=1550, epe=20.73825860966775, total_time=0.67
[2020/12/22 13:14:15] steps=1600, epe=20.424219098924496, total_time=0.66
[2020/12/22 13:14:48] steps=1650, epe=20.15145934310822, total_time=0.66
[2020/12/22 13:15:23] steps=1700, epe=19.915188199768313, total_time=0.66
[2020/12/22 13:15:57] steps=1750, epe=19.586810759786513, total_time=0.66
[2020/12/22 13:16:32] steps=1800, epe=19.343411026340636, total_time=0.66
[2020/12/22 13:17:05] steps=1850, epe=19.188885489275687, total_time=0.67
[2020/12/22 13:17:40] steps=1900, epe=18.937129626964186, total_time=0.66
[2020/12/22 13:18:13] steps=1950, epe=18.80922326112421, total_time=0.66
[2020/12/22 13:18:48] steps=2000, epe=18.75523814160074, total_time=0.66
[2020/12/22 13:19:21] steps=2050, epe=18.582872290143776, total_time=0.67
[2020/12/22 13:19:56] steps=2100, epe=18.41652139239148, total_time=0.66
[2020/12/22 13:20:30] steps=2150, epe=18.195380297386503, total_time=0.67
[2020/12/22 13:21:05] steps=2200, epe=18.06757630715191, total_time=0.66
[2020/12/22 13:21:39] steps=2250, epe=17.8573826814769, total_time=0.68
[2020/12/22 13:22:13] steps=2300, epe=17.734051311522137, total_time=0.65
[2020/12/22 13:22:46] steps=2350, epe=17.64899637742309, total_time=0.66
[2020/12/22 13:23:21] steps=2400, epe=17.482043079248236, total_time=0.66
[2020/12/22 13:23:54] steps=2450, epe=17.418592603148227, total_time=0.67
[2020/12/22 13:24:29] steps=2500, epe=17.337503785499344, total_time=0.65
[2020/12/22 13:24:48] steps=2500, sintel.clean=14.039177894592285, sintel.final=14.175310134887695
