[2020/12/22 20:45:22] start=0, train=78563, val=450, host=ludwig, batch=3
[2020/12/22 20:45:22] batch=16, config='MaskFlownet_ft.yaml', dataset_cfg='things3d.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 20:45:32] steps=1, epe=30.77423829407052, total_time=0.00
[2020/12/22 20:45:50] steps=1, sintel.clean=1.3986015319824219, sintel.final=1.732354998588562
[2020/12/22 20:45:50] steps=2, epe=20.181255051547684, total_time=27.61
[2020/12/22 20:45:50] steps=3, epe=18.130855378761748, total_time=13.56
[2020/12/22 20:45:50] steps=4, epe=14.114410504489305, total_time=8.87
[2020/12/22 20:45:50] steps=5, epe=13.365508505982342, total_time=6.53
[2020/12/22 20:45:51] steps=6, epe=12.524988331808697, total_time=5.13
[2020/12/22 20:45:51] steps=7, epe=13.900258055699156, total_time=4.19
[2020/12/22 20:45:51] steps=8, epe=43.50160254063441, total_time=3.53
[2020/12/22 20:45:51] steps=9, epe=38.11597187544987, total_time=3.04
[2020/12/22 20:45:51] steps=10, epe=34.80626806479046, total_time=2.66
[2020/12/22 20:45:52] steps=11, epe=30.991191419206235, total_time=2.35
[2020/12/22 20:45:52] steps=12, epe=31.23465483176474, total_time=2.11
[2020/12/22 20:45:52] steps=13, epe=28.72608465713225, total_time=1.90
[2020/12/22 20:45:52] steps=14, epe=31.06825740339205, total_time=1.73
[2020/12/22 20:45:52] steps=15, epe=29.339633579490066, total_time=1.58
[2020/12/22 20:45:53] steps=16, epe=27.52191992302068, total_time=1.45
[2020/12/22 20:45:53] steps=17, epe=26.77724874348517, total_time=1.34
[2020/12/22 20:45:53] steps=18, epe=24.829250509061648, total_time=1.24
[2020/12/22 20:45:53] steps=19, epe=25.01097072980238, total_time=1.16
[2020/12/22 20:45:53] steps=20, epe=23.279709732897302, total_time=1.08
[2020/12/22 20:46:00] steps=50, epe=21.95518826138924, total_time=0.34
[2020/12/22 20:46:11] steps=100, epe=21.12794659929614, total_time=0.22
[2020/12/22 20:46:21] steps=150, epe=21.009045045232345, total_time=0.21
[2020/12/22 20:46:32] steps=200, epe=20.882861178961296, total_time=0.20
[2020/12/22 20:46:41] steps=250, epe=22.658797332313604, total_time=0.19
[2020/12/22 20:46:57] steps=250, sintel.clean=1.4578099250793457, sintel.final=1.7833940982818604
[2020/12/22 20:47:07] steps=300, epe=21.893761902183957, total_time=0.25
[2020/12/22 20:47:16] steps=350, epe=20.642845755320725, total_time=0.21
[2020/12/22 20:47:27] steps=400, epe=21.73415713895147, total_time=0.21
[2020/12/22 20:47:37] steps=450, epe=21.4652483324841, total_time=0.19
[2020/12/22 20:47:47] steps=500, epe=20.82101595656357, total_time=0.18
[2020/12/22 20:48:04] steps=500, sintel.clean=1.4950982332229614, sintel.final=1.8195161819458008
[2020/12/22 20:48:14] steps=550, epe=20.751731263193467, total_time=0.27
[2020/12/22 20:48:25] steps=600, epe=19.851101619664835, total_time=0.21
[2020/12/22 20:48:35] steps=650, epe=20.004355244049194, total_time=0.21
[2020/12/22 20:48:46] steps=700, epe=19.28472133704353, total_time=0.20
[2020/12/22 20:48:56] steps=750, epe=18.56515120893198, total_time=0.20
[2020/12/22 20:49:13] steps=750, sintel.clean=1.4814321994781494, sintel.final=1.8139618635177612
[2020/12/22 20:49:24] steps=800, epe=17.897173302715117, total_time=0.28
[2020/12/22 20:49:34] steps=850, epe=nan, total_time=0.20
[2020/12/22 20:49:45] steps=900, epe=nan, total_time=0.20
[2020/12/22 20:49:55] steps=950, epe=nan, total_time=0.21
[2020/12/22 20:50:06] steps=1000, epe=nan, total_time=0.21
[2020/12/22 20:50:22] steps=1000, sintel.clean=nan, sintel.final=nan
[2020/12/22 20:50:32] steps=1050, epe=nan, total_time=0.25
