[2020/12/23 00:46:15] start=0, train=7223, val=224, host=ludwig, batch=3
[2020/12/23 00:46:15] batch=64, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='0', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/23 00:46:19] steps=1, epe=87.46883309238594, total_time=0.00
[2020/12/23 00:46:48] steps=1, sintel.clean=1.404199481010437, sintel.final=1.740713357925415
[2020/12/23 00:46:48] steps=2, epe=78.04627700288088, total_time=33.48
[2020/12/23 00:46:49] steps=3, epe=89.40714318619288, total_time=16.54
[2020/12/23 00:46:49] steps=4, epe=82.30523199236218, total_time=10.90
[2020/12/23 00:46:50] steps=5, epe=74.8782732149186, total_time=8.08
[2020/12/23 00:46:50] steps=6, epe=65.59844574262333, total_time=6.39
[2020/12/23 00:46:51] steps=7, epe=61.960012646266456, total_time=5.27
[2020/12/23 00:46:51] steps=8, epe=59.70482044397091, total_time=4.47
[2020/12/23 00:46:52] steps=9, epe=54.793200019716316, total_time=3.87
[2020/12/23 00:46:52] steps=10, epe=57.81809201827423, total_time=3.40
[2020/12/23 00:46:52] steps=11, epe=62.024811405659676, total_time=3.03
[2020/12/23 00:46:53] steps=12, epe=60.86581340238545, total_time=2.73
[2020/12/23 00:46:53] steps=13, epe=63.15219052366966, total_time=2.48
[2020/12/23 00:46:54] steps=14, epe=60.69292146082054, total_time=2.27
[2020/12/23 00:46:54] steps=15, epe=62.027021900865854, total_time=2.09
[2020/12/23 00:46:55] steps=16, epe=61.74409243791291, total_time=1.94
[2020/12/23 00:46:55] steps=17, epe=59.218679719122186, total_time=1.80
[2020/12/23 00:46:55] steps=18, epe=57.79881650114137, total_time=1.68
[2020/12/23 00:46:56] steps=19, epe=58.21933257482843, total_time=1.58
[2020/12/23 00:46:56] steps=20, epe=55.41201835811571, total_time=1.49
[2020/12/23 00:47:09] steps=50, epe=54.049295866159184, total_time=0.59
[2020/12/23 00:47:32] steps=100, epe=51.63117071789891, total_time=0.45
[2020/12/23 00:47:54] steps=150, epe=49.09038941503078, total_time=0.44
[2020/12/23 00:48:20] steps=150, sintel.clean=3.6876885890960693, sintel.final=4.405881404876709
[2020/12/23 00:48:43] steps=200, epe=47.02799991114781, total_time=0.55
[2020/12/23 00:49:05] steps=250, epe=44.91526617456612, total_time=0.45
[2020/12/23 00:49:27] steps=300, epe=43.40498864280605, total_time=0.44
[2020/12/23 00:49:55] steps=300, sintel.clean=5.220329284667969, sintel.final=5.766467094421387
[2020/12/23 00:50:18] steps=350, epe=41.637122607477586, total_time=0.56
[2020/12/23 00:50:40] steps=400, epe=40.344600985615585, total_time=0.45
[2020/12/23 00:51:02] steps=450, epe=38.704000077019536, total_time=0.44
[2020/12/23 00:51:29] steps=450, sintel.clean=6.433424472808838, sintel.final=6.731998443603516
[2020/12/23 00:51:51] steps=500, epe=37.44629344018344, total_time=0.55
[2020/12/23 00:52:13] steps=550, epe=36.44313430478402, total_time=0.46
[2020/12/23 00:52:35] steps=600, epe=35.25394770864112, total_time=0.44
[2020/12/23 00:53:02] steps=600, sintel.clean=7.707828998565674, sintel.final=7.825191497802734
[2020/12/23 00:53:25] steps=650, epe=34.29880019472407, total_time=0.55
[2020/12/23 00:53:47] steps=700, epe=33.11973281491643, total_time=0.45
[2020/12/23 00:54:09] steps=750, epe=32.25703265051899, total_time=0.44
[2020/12/23 00:54:36] steps=750, sintel.clean=9.142425537109375, sintel.final=9.091227531433105
[2020/12/23 00:54:58] steps=800, epe=31.29798368407407, total_time=0.55
[2020/12/23 00:55:20] steps=850, epe=30.58194522992489, total_time=0.45
[2020/12/23 00:55:42] steps=900, epe=29.981223145309947, total_time=0.44
[2020/12/23 00:56:09] steps=900, sintel.clean=9.810431480407715, sintel.final=9.748148918151855
[2020/12/23 00:56:32] steps=950, epe=29.194700550788248, total_time=0.55
[2020/12/23 00:56:54] steps=1000, epe=28.440170465109674, total_time=0.45
[2020/12/23 00:57:16] steps=1050, epe=27.722252138167388, total_time=0.44
[2020/12/23 00:57:43] steps=1050, sintel.clean=10.983853340148926, sintel.final=11.033268928527832
[2020/12/23 00:58:05] steps=1100, epe=27.00284748445487, total_time=0.55
[2020/12/23 00:58:27] steps=1150, epe=26.31222864538195, total_time=0.45
[2020/12/23 00:58:49] steps=1200, epe=25.46332728245909, total_time=0.44
[2020/12/23 00:59:16] steps=1200, sintel.clean=11.240885734558105, sintel.final=11.30530834197998
[2020/12/23 00:59:38] steps=1250, epe=24.9817479908187, total_time=0.55
[2020/12/23 01:00:00] steps=1300, epe=24.50210363077855, total_time=0.45
[2020/12/23 01:00:22] steps=1350, epe=24.071705347760627, total_time=0.44
[2020/12/23 01:00:49] steps=1350, sintel.clean=11.831193923950195, sintel.final=11.912322998046875
[2020/12/23 01:01:11] steps=1400, epe=23.362870304810638, total_time=0.55
[2020/12/23 01:01:33] steps=1450, epe=23.056876732216548, total_time=0.45
[2020/12/23 01:01:55] steps=1500, epe=22.623034066898516, total_time=0.44
[2020/12/23 01:02:22] steps=1500, sintel.clean=12.131729125976562, sintel.final=12.226008415222168
[2020/12/23 01:02:44] steps=1550, epe=22.038835203169178, total_time=0.55
[2020/12/23 01:03:06] steps=1600, epe=21.997773172522674, total_time=0.45
[2020/12/23 01:03:28] steps=1650, epe=21.636502400737534, total_time=0.44
[2020/12/23 01:03:55] steps=1650, sintel.clean=12.222509384155273, sintel.final=12.352935791015625
[2020/12/23 01:04:17] steps=1700, epe=21.336444696720807, total_time=0.55
[2020/12/23 01:04:39] steps=1750, epe=21.03583104303962, total_time=0.45
[2020/12/23 01:05:01] steps=1800, epe=20.69803019220454, total_time=0.44
[2020/12/23 01:05:28] steps=1800, sintel.clean=12.387746810913086, sintel.final=12.498467445373535
[2020/12/23 01:05:50] steps=1850, epe=20.275680367305537, total_time=0.55
