[2020/12/21 23:07:20] start=0, train=21670, val=224, host=ludwig, batch=15
[2020/12/21 23:07:20] batch=16, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/21 23:08:30] steps=1, epe=66.33048185277059, total_time=0.00
[2020/12/21 23:08:52] steps=1, sintel.clean=1.4039204120635986, sintel.final=1.7387521266937256
[2020/12/21 23:08:53] steps=2, epe=61.89154591403651, total_time=92.03
[2020/12/21 23:08:55] steps=3, epe=68.93398734928292, total_time=45.50
[2020/12/21 23:08:56] steps=4, epe=67.81975881190894, total_time=30.09
[2020/12/21 23:08:58] steps=5, epe=68.84166174833175, total_time=22.43
[2020/12/21 23:08:59] steps=6, epe=65.9656246080093, total_time=17.77
[2020/12/21 23:09:01] steps=7, epe=63.08879966841536, total_time=14.74
[2020/12/21 23:09:02] steps=8, epe=63.57832422875184, total_time=12.54
[2020/12/21 23:09:04] steps=9, epe=60.47275385121952, total_time=10.90
[2020/12/21 23:09:05] steps=10, epe=58.454572511868065, total_time=9.64
[2020/12/21 23:09:07] steps=11, epe=56.049824504519634, total_time=8.63
[2020/12/21 23:09:09] steps=12, epe=55.27618866591352, total_time=7.81
[2020/12/21 23:09:10] steps=13, epe=53.92323001283575, total_time=7.13
[2020/12/21 23:09:12] steps=14, epe=53.310391482680835, total_time=6.56
[2020/12/21 23:09:13] steps=15, epe=51.88899671927412, total_time=6.07
[2020/12/21 23:09:15] steps=16, epe=51.172619424382574, total_time=5.64
[2020/12/21 23:09:16] steps=17, epe=51.74896429484057, total_time=5.28
[2020/12/21 23:09:18] steps=18, epe=51.45142555523, total_time=4.94
[2020/12/21 23:09:19] steps=19, epe=50.34023040594883, total_time=4.67
[2020/12/21 23:09:21] steps=20, epe=49.67066869412404, total_time=4.42
[2020/12/21 23:10:07] steps=50, epe=47.548211614554624, total_time=1.98
[2020/12/21 23:11:24] steps=100, epe=45.33159627606883, total_time=1.57
[2020/12/21 23:12:43] steps=150, epe=43.359301688905305, total_time=1.57
[2020/12/21 23:14:01] steps=200, epe=41.49300405159702, total_time=1.56
[2020/12/21 23:15:19] steps=250, epe=39.81497533772811, total_time=1.56
[2020/12/21 23:16:38] steps=300, epe=38.22236546868266, total_time=1.58
[2020/12/21 23:17:57] steps=350, epe=36.689829915936116, total_time=1.59
[2020/12/21 23:19:17] steps=400, epe=35.37157459456677, total_time=1.59
[2020/12/21 23:20:38] steps=450, epe=34.11624229609853, total_time=1.61
[2020/12/21 23:21:59] steps=500, epe=32.950401815668535, total_time=1.63
[2020/12/21 23:23:20] steps=550, epe=31.99936662496072, total_time=1.62
[2020/12/21 23:24:42] steps=600, epe=30.96779426088327, total_time=1.65
[2020/12/21 23:26:04] steps=650, epe=30.002984798260446, total_time=1.64
[2020/12/21 23:27:26] steps=700, epe=29.173002443451118, total_time=1.64
[2020/12/21 23:28:49] steps=750, epe=28.471143340779513, total_time=1.67
