[2020/12/22 14:00:43] start=0, train=21670, val=224, host=ludwig, batch=30
[2020/12/22 14:00:43] batch=8, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 14:01:00] steps=1, epe=82.44700544233939, total_time=0.00
[2020/12/22 14:01:18] steps=1, sintel.clean=1.403403639793396, sintel.final=1.7385456562042236
[2020/12/22 14:01:19] steps=2, epe=71.71610011630032, total_time=35.56
[2020/12/22 14:01:20] steps=3, epe=69.51786180174207, total_time=17.72
[2020/12/22 14:01:21] steps=4, epe=68.44601054510753, total_time=11.77
[2020/12/22 14:01:21] steps=5, epe=67.32954427268997, total_time=8.77
[2020/12/22 14:01:22] steps=6, epe=66.83607662396548, total_time=6.99
[2020/12/22 14:01:22] steps=7, epe=66.44549888539902, total_time=5.79
[2020/12/22 14:01:23] steps=8, epe=66.55533684056365, total_time=4.94
[2020/12/22 14:01:24] steps=9, epe=65.66757426565583, total_time=4.30
[2020/12/22 14:01:24] steps=10, epe=64.31939309994584, total_time=3.80
[2020/12/22 14:01:25] steps=11, epe=61.5180759416534, total_time=3.41
[2020/12/22 14:01:26] steps=12, epe=60.38582234641045, total_time=3.10
[2020/12/22 14:01:27] steps=13, epe=59.179992753919336, total_time=2.84
[2020/12/22 14:01:27] steps=14, epe=57.697988224887254, total_time=2.62
[2020/12/22 14:01:28] steps=15, epe=56.98991876458956, total_time=2.42
[2020/12/22 14:01:28] steps=16, epe=55.93546711718767, total_time=2.26
[2020/12/22 14:01:29] steps=17, epe=54.409952461355864, total_time=2.12
[2020/12/22 14:01:30] steps=18, epe=53.98358201870753, total_time=1.99
[2020/12/22 14:01:30] steps=19, epe=52.612417216195254, total_time=1.88
[2020/12/22 14:01:31] steps=20, epe=51.594036555595146, total_time=1.78
[2020/12/22 14:01:51] steps=50, epe=49.178866845886844, total_time=0.81
[2020/12/22 14:02:25] steps=100, epe=46.8170409471218, total_time=0.66
[2020/12/22 14:02:43] steps=100, sintel.clean=4.00276517868042, sintel.final=4.653556823730469
[2020/12/22 14:03:16] steps=150, epe=44.7074332706176, total_time=0.74
[2020/12/22 14:03:50] steps=200, epe=42.899336045324155, total_time=0.66
[2020/12/22 14:04:08] steps=200, sintel.clean=6.149476528167725, sintel.final=6.489073753356934
[2020/12/22 14:04:40] steps=250, epe=41.16710480928039, total_time=0.73
[2020/12/22 14:05:15] steps=300, epe=39.44663865441738, total_time=0.65
[2020/12/22 14:05:33] steps=300, sintel.clean=7.837240695953369, sintel.final=7.870431423187256
[2020/12/22 14:06:06] steps=350, epe=37.888441464269754, total_time=0.74
[2020/12/22 14:06:41] steps=400, epe=36.503475678817225, total_time=0.66
[2020/12/22 14:06:59] steps=400, sintel.clean=9.165421485900879, sintel.final=9.051959991455078
[2020/12/22 14:07:31] steps=450, epe=35.09454521862919, total_time=0.73
[2020/12/22 14:08:05] steps=500, epe=33.92218533696151, total_time=0.65
[2020/12/22 14:08:24] steps=500, sintel.clean=10.425501823425293, sintel.final=10.394899368286133
[2020/12/22 14:08:56] steps=550, epe=32.79597577424194, total_time=0.73
[2020/12/22 14:09:31] steps=600, epe=31.691169083800638, total_time=0.65
[2020/12/22 14:09:49] steps=600, sintel.clean=11.305747032165527, sintel.final=11.307358741760254
[2020/12/22 14:10:22] steps=650, epe=30.74069461485364, total_time=0.74
[2020/12/22 14:10:57] steps=700, epe=29.930539684535987, total_time=0.66
[2020/12/22 14:11:16] steps=700, sintel.clean=12.011581420898438, sintel.final=12.027626991271973
[2020/12/22 14:11:48] steps=750, epe=29.1244394248125, total_time=0.73
[2020/12/22 14:12:23] steps=800, epe=28.296258536973735, total_time=0.67
[2020/12/22 14:12:43] steps=800, sintel.clean=11.868117332458496, sintel.final=11.8842134475708
[2020/12/22 14:13:16] steps=850, epe=27.53855752084356, total_time=0.76
[2020/12/22 14:13:52] steps=900, epe=26.849405785534298, total_time=0.66
[2020/12/22 14:14:10] steps=900, sintel.clean=12.332818984985352, sintel.final=12.367170333862305
[2020/12/22 14:14:42] steps=950, epe=26.23469587863105, total_time=0.73
[2020/12/22 14:15:17] steps=1000, epe=25.581982307156693, total_time=0.66
[2020/12/22 14:15:35] steps=1000, sintel.clean=12.570540428161621, sintel.final=12.656438827514648
[2020/12/22 14:16:08] steps=1050, epe=24.995426911392016, total_time=0.74
[2020/12/22 14:16:44] steps=1100, epe=24.410032083040342, total_time=0.66
[2020/12/22 14:17:02] steps=1100, sintel.clean=12.9742431640625, sintel.final=13.059060096740723
[2020/12/22 14:17:34] steps=1150, epe=23.863139888958678, total_time=0.74
[2020/12/22 14:18:09] steps=1200, epe=23.394483271537233, total_time=0.67
[2020/12/22 14:18:29] steps=1200, sintel.clean=13.052496910095215, sintel.final=13.170515060424805
[2020/12/22 14:19:02] steps=1250, epe=22.962386342475867, total_time=0.75
[2020/12/22 14:19:37] steps=1300, epe=22.518901040670915, total_time=0.66
[2020/12/22 14:19:55] steps=1300, sintel.clean=13.013094902038574, sintel.final=13.163315773010254
[2020/12/22 14:20:28] steps=1350, epe=22.169376009403866, total_time=0.73
[2020/12/22 14:21:02] steps=1400, epe=21.77532683417758, total_time=0.65
[2020/12/22 14:21:22] steps=1400, sintel.clean=13.311028480529785, sintel.final=13.464274406433105
[2020/12/22 14:21:55] steps=1450, epe=21.350298112859296, total_time=0.74
[2020/12/22 14:22:30] steps=1500, epe=20.996370935612983, total_time=0.66
[2020/12/22 14:22:49] steps=1500, sintel.clean=13.426347732543945, sintel.final=13.569551467895508
[2020/12/22 14:23:23] steps=1550, epe=20.620033461210703, total_time=0.74
[2020/12/22 14:23:57] steps=1600, epe=20.248888768052407, total_time=0.66
[2020/12/22 14:24:17] steps=1600, sintel.clean=13.668004989624023, sintel.final=13.814383506774902
[2020/12/22 14:24:50] steps=1650, epe=19.94990732288369, total_time=0.74
[2020/12/22 14:25:25] steps=1700, epe=19.711772363310683, total_time=0.67
[2020/12/22 14:25:44] steps=1700, sintel.clean=13.671710014343262, sintel.final=13.818251609802246
[2020/12/22 14:26:16] steps=1750, epe=19.477499715188273, total_time=0.74
[2020/12/22 14:26:51] steps=1800, epe=19.22014156060115, total_time=0.66
[2020/12/22 14:27:13] steps=1800, sintel.clean=13.674349784851074, sintel.final=13.812296867370605
[2020/12/22 14:27:47] steps=1850, epe=19.0731921427736, total_time=0.76
[2020/12/22 14:28:21] steps=1900, epe=18.83865523659716, total_time=0.66
[2020/12/22 14:28:41] steps=1900, sintel.clean=14.109405517578125, sintel.final=14.226614952087402
[2020/12/22 14:29:14] steps=1950, epe=18.740984125749126, total_time=0.74
[2020/12/22 14:29:48] steps=2000, epe=18.651709470899785, total_time=0.66
[2020/12/22 14:30:10] steps=2000, sintel.clean=13.620549201965332, sintel.final=13.748286247253418
[2020/12/22 14:30:43] steps=2050, epe=18.530578504416127, total_time=0.76
[2020/12/22 14:31:19] steps=2100, epe=18.33433616606879, total_time=0.67
[2020/12/22 14:31:39] steps=2100, sintel.clean=14.060154914855957, sintel.final=14.210244178771973
[2020/12/22 14:32:11] steps=2150, epe=18.115554355631264, total_time=0.74
[2020/12/22 14:32:46] steps=2200, epe=17.942487429361638, total_time=0.66
[2020/12/22 14:33:05] steps=2200, sintel.clean=13.94753360748291, sintel.final=14.091291427612305
[2020/12/22 14:33:37] steps=2250, epe=17.787447142732425, total_time=0.74
[2020/12/22 14:34:13] steps=2300, epe=17.6797863663877, total_time=0.66
[2020/12/22 14:34:32] steps=2300, sintel.clean=14.206622123718262, sintel.final=14.381091117858887
[2020/12/22 14:35:05] steps=2350, epe=17.543207689103344, total_time=0.74
