[2020/12/22 21:24:36] start=0, train=21670, val=224, host=ludwig, batch=3
[2020/12/22 21:24:36] batch=8, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 21:24:46] steps=1, epe=70.43228845442842, total_time=0.00
[2020/12/22 21:25:05] steps=1, sintel.clean=1.4042818546295166, sintel.final=1.7399406433105469
[2020/12/22 21:25:05] steps=2, epe=55.92974103815841, total_time=28.60
[2020/12/22 21:25:05] steps=3, epe=72.56078861101568, total_time=14.02
[2020/12/22 21:25:06] steps=4, epe=67.67970115341753, total_time=9.16
[2020/12/22 21:25:06] steps=5, epe=75.00326428100077, total_time=6.73
[2020/12/22 21:25:06] steps=6, epe=67.624319982872, total_time=5.27
[2020/12/22 21:25:06] steps=7, epe=64.68795460938327, total_time=4.31
[2020/12/22 21:25:06] steps=8, epe=59.66621358478955, total_time=3.62
[2020/12/22 21:25:06] steps=9, epe=63.51432449860426, total_time=3.10
[2020/12/22 21:25:06] steps=10, epe=60.933229817743786, total_time=2.70
[2020/12/22 21:25:07] steps=11, epe=63.23169396082728, total_time=2.38
[2020/12/22 21:25:07] steps=12, epe=66.79391628403913, total_time=2.12
[2020/12/22 21:25:07] steps=13, epe=67.66535470982053, total_time=1.91
[2020/12/22 21:25:07] steps=14, epe=69.89395658762547, total_time=1.72
[2020/12/22 21:25:07] steps=15, epe=66.47962151513978, total_time=1.57
[2020/12/22 21:25:07] steps=16, epe=67.58874156814353, total_time=1.44
[2020/12/22 21:25:07] steps=17, epe=65.75889928554751, total_time=1.32
[2020/12/22 21:25:08] steps=18, epe=68.03943653174996, total_time=1.22
[2020/12/22 21:25:08] steps=19, epe=67.90375712280483, total_time=1.13
[2020/12/22 21:25:08] steps=20, epe=68.14242095973047, total_time=1.05
[2020/12/22 21:25:12] steps=50, epe=65.02701644689091, total_time=0.27
[2020/12/22 21:25:19] steps=100, epe=61.527686200691996, total_time=0.15
[2020/12/22 21:25:37] steps=100, sintel.clean=3.2344706058502197, sintel.final=3.963590383529663
[2020/12/22 21:25:44] steps=150, epe=58.6245022680922, total_time=0.21
[2020/12/22 21:25:51] steps=200, epe=55.538832656769614, total_time=0.14
[2020/12/22 21:26:09] steps=200, sintel.clean=4.421367645263672, sintel.final=5.111214637756348
[2020/12/22 21:26:16] steps=250, epe=52.549884024972634, total_time=0.21
[2020/12/22 21:26:24] steps=300, epe=50.32986043347298, total_time=0.14
[2020/12/22 21:26:42] steps=300, sintel.clean=5.191895008087158, sintel.final=5.712143898010254
[2020/12/22 21:26:49] steps=350, epe=48.0886724902995, total_time=0.21
[2020/12/22 21:26:56] steps=400, epe=45.98781453293515, total_time=0.14
[2020/12/22 21:27:13] steps=400, sintel.clean=6.597488880157471, sintel.final=7.023684978485107
[2020/12/22 21:27:21] steps=450, epe=44.30347033578107, total_time=0.22
[2020/12/22 21:27:28] steps=500, epe=42.43130318660799, total_time=0.15
[2020/12/22 21:27:47] steps=500, sintel.clean=7.007286071777344, sintel.final=7.246261119842529
